Name,Selection Method,Confirmation Method,RAdeg,DEdeg,Num_comp,i_mag,Sep(as),Rank,Confirmation_flag,Notes
151237+553901,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",228.15381,55.650295,2,19.01,1.9,C,2,similar colour p-l; includes SDSS z=1.363 QSO; SQLS QSO + star
151527-203609,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",228.862483,-20.602366,2,17.84,2.9,C,2,p-l; companion has large pm
151832+343325,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",229.632917,34.557016,2,18.87,3.0,C,2,similar colour p-l; includes SDSS z=1.672 QSO; SQLS candidate; companion has large pm
151858-022443,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",229.74139,-2.411924,3,16.9,3.3,B,2,p-l; inner component has large pm; the other two have negligible AEN; p and pm
151918+094205,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",229.826754,9.701277,2,18.11,3.7,C,2,similar colour p-l; companion has large pm
152005+195038,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",230.021454,19.843884,3,18.73,1.4,C,2,similar colour; a single companion has Gaia data (only AEN; large)
152050+263741,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",230.209019,26.627994,2,18.93,2.1,C,2,p-l; includes SDSS z=1.365 QSO; SQLS candidate candidate; companion has large p and pm
152444+054628,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",231.182118,5.77438,2,17.68,3.7,C,2,similar colour p-l; includes SDSS z=1.445 QSO; SQLS candidate; companion has large pm
153223-291257,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",233.094882,-29.215933,2,19.05,1.8,C,2,similar colour p-l; companion has large pm
153311-001509,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",233.296204,-0.252541,3,19.49,4.0,C,2,similar colours; only one; outer component has Gaia data; large pm; the others are galaxies
153510+082347,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",233.79015,8.396438,2,18.77,2.5,C,2,p-l; third component? includes SDSS z=1.953 QSO; SQLS candidate; companion has large pm
154226-023456,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",235.610402,-2.582135,2,18.74,3.1,C,2,similar colour p-l; companion has large pm
154726-153237,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",236.857051,-15.543614,2,17.96,2.7,C,2,similar colour p-l; companion has large pm
160138+172852,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",240.407737,17.48102,3,17.80,5.6,C,2,similar colour p-l (one component has large pm) + red inner components (large pm); includes SDSS z=2.239 QSO
160927+175431,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",242.361547,17.90869,2,17.67,2.6,C,2,similar colour p-l; includes SDSS z=1.993 QSO; SQLS candidate; companion has large pm
161008+234837,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",242.533565,23.810394,2,19.14,3.0,C,2,similar colour p-l; companion has large pm
161657-170647,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",244.235836,-17.113065,2,18.12,2.6,C,2,similar colour p-l; companion has large pm
161722-230546,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",244.340087,-23.096165,2,18.80,1.8,C,2,similar colour p-l; QSO + star (Lemon et al. 2018)
161841+301311,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",244.669946,30.2196,2,17.61,2.5,B,2,similar colour p-l; includes SDSS z=1.403 QSO; companion has large pm
161931+162123,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",244.878602,16.356363,2,19.08,2.6,C,2,similar colour p-l; includes SDSS z=2.455 QSO; companion has large pm
162417+064152,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",246.070533,6.697785,2,18.44,2.4,C,2,similar colour p-l; companion has large pm
163113-171407,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",247.804331,-17.235305,2,17.59,3.0,C,2,similar colour p-l; companion has large pm
163533+205229,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",248.886788,20.87476,2,18.49,2.1,C,2,similar colour p-l; companion has large pm
163614+094317,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",249.056552,9.721352,2,19.21,2.2,C,2,similar colour p-l; companion has large pm
163959-210652,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",249.995488,-21.114331,2,18.84,1.7,C,2,similar colour p-l; companion has large pm
164304+754120,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",250.765894,75.688987,2,18.08,3.5,C,2,similar colour p-l; companion has large pm
164552+152025,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",251.465796,15.340377,2,19.04,2.2,B,2,similar colour p-l; companion has large pm
170002+250336,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",255.009344,25.060094,3,18.50,4.7,C,2,similar colour p-l; 2 components have large pm
170024+005815,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",255.099997,0.970862,2,16.44,1.6,C,2,similar colour p-l; companion has large pm
170514+331637,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",256.307089,33.276899,2,18.98,2.2,C,2,similar colour p-l; includes SDSS z=2.224 QSO; companion has large pm
170516+251533,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",256.316261,25.259123,2,18.34,2.1,C,2,similar colour p-l; companion has large pm
170602+270515,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",256.509411,27.087583,2,17.31,2.3,C,2,similar colour; one component has large pm; the other one large AEN
170817+325311,Mid-IR Colors / Optical Imaging / Optical Colors,"-99",257.072403,32.886393,2,18.38,2.1,C,2,similar colour p-l; companion has large AEN and pm
