|plate|fiber|  mjd|     z|  amp1|      vel1|  sig1|     amp2|      vel2|  sig2|  amp3|      vel3|  sig3|  amp4|  vel4|  sig4|  fwhm|  fwqm|    w50|    w80|    w90|     relasym|  r9050|  dp|
| long| long| long|double|double|    double|double|   double|    double|double|double|    double|double|double|double|double|double|double| double| double| double|      double| double|long|
|     |     |     |      |      |          |      |         |          |      |      |          |      |      |      |      |      |      |       |       |       |            |       |    |
| null| null| null|  null|  null|      null|  null|     null|      null|  null|  null|      null|  null|  null|  null|  null|  null|  null|   null|   null|   null|        null|   null|null|
  3758   101 55506 0.5414  10.55     -50.24  365.6     16.38      74.74  123.1    0.0        0.0    0.1    0.0    0.0    0.1  404.8  769.2   346.0   764.0  1047.5    -0.143274 3.02746    0 
  3759   125 55236 0.5057  17.52     -126.3  116.5     13.68      142.5  132.3  3.244     -72.83  305.5    0.0   -0.0    0.1  519.8  677.6   293.8   527.4   674.3    0.0340205  2.2951    0 
  3759   369 55236 0.5114  22.94     -16.16  182.6     1.003      104.3  715.4  13.28      19.82  91.91    0.0   -0.0    0.1  339.0  530.1   235.6   507.1   748.5    0.0328128 3.17699    0 
  3759   828 55236 0.4668  2.159     -9.494  307.2     53.98     -23.11  94.27  8.547      148.1  76.77    0.0   -0.0    0.1  249.9  369.1   155.7   309.3   414.8    0.0640743  2.6641    0 
  3759   943 55236 0.4591  10.84      57.96  328.7     1.617     -575.5 1215.0  7.358     -62.33  189.5    0.0    0.0    0.1  669.5 1035.5   531.3  1538.0  2441.1    -0.366843 4.59458    0 
  3761   381 55272 0.5989  13.94     -160.4  347.5      31.3      112.8  128.2    0.0        0.0    0.1    0.0    0.0    0.1  381.0  775.5   368.1   754.3   980.9    -0.326476 2.66477    0 
  3761   483 55272 0.5405  1.714     -93.58  396.4     12.43      14.02  175.4    0.0        0.0    0.1    0.0    0.0    0.1  442.6  644.9   279.4   566.3   792.0    -0.103487 2.83465    0 
  3762   243 55507 0.4715  16.58      35.66  327.3     25.99     -40.32  166.6  2.208     -308.2  747.7    0.0   -0.0    0.1  512.3  809.7   365.8   815.0  1225.1   -0.0918456  3.3491    0 
  3764   722 55514 0.5927  1.316     -231.4  600.8     12.54      -29.7  198.1    0.0       -0.0    0.1    0.0   -0.0    0.1  495.5  722.6   331.0   714.7  1110.7    -0.215234 3.35559    0 
  3765   805 55508 0.4954  22.83     -9.886  162.3     16.28       39.0   83.1  5.891     -28.43  343.3    0.0    0.0    0.1  323.0  520.4   232.1   499.9   714.3   -0.0742181 3.07755    0 
  3765   837 55508 0.5247  13.75      61.19  628.7     9.359      164.3  77.75  10.75     -344.2  220.6    0.0   -0.0    0.1 1049.0 1709.2   726.4  1434.2  1884.7     0.113238 2.59458    2 
  3766   689 55213 0.4618  5.652     -118.9  448.9     18.77      46.32  164.3    0.0        0.0    0.1    0.0    0.0    0.1  453.4  713.1   340.7   785.5  1118.1    -0.208863 3.28177    0 
  3767   969 55214 0.4399  46.88     -130.4  101.3     38.96      84.59  106.9  7.588      63.05  301.7    0.0   -0.0    0.1  437.8  568.6   248.5   452.6   595.0     0.107328 2.39437    0 
  3768   918 55564 0.4694   11.5     -81.18  539.1     27.35      -41.3  248.1    0.0       -0.0    0.1    0.0   -0.0    0.1  700.2 1070.7   466.1   978.4  1373.3   -0.0347193 2.94636    1 
  3769     3 55240 0.4317  4.015     -72.16  382.0     15.57      109.2  121.6  10.78     -14.52  148.4    0.0    0.0    0.1  376.3  565.1  258.82   553.5   804.6    -0.215014 3.10872    0 
  3770   697 55234 0.6531  5.294       7.59  304.2     10.04      143.3  102.0    0.0        0.0    0.1    0.0    0.0    0.1  318.1  610.5  283.55   622.5   850.4    -0.204069 2.99912    0 
  3770   709 55234 0.4982   2.15     -478.6  510.0     14.67      98.03  152.4  5.151     -121.6  212.9    0.0    0.0    0.1  449.1  724.5   376.8   876.0  1235.4    -0.450944 3.27866    0 
  3772   129 55277 0.5065  2.173     -759.9  771.6     14.84      116.8  137.6   6.71     -88.58  348.8    0.0    0.0    0.1  435.1  887.1   584.7  1351.2  1884.2    -0.525815 3.22251    0 
  3773    89 55240 0.5047  2.802     -39.67  271.2      45.6       37.6  89.79   17.1     -139.0  82.17    0.0   -0.0    0.1  290.3  417.2  176.88   337.9   439.2    -0.110437 2.48304    0 
  3774   399 55244 0.4355  1.154     -224.4  262.8     2.547     -93.28  63.85   6.38      45.81  175.2    0.0   -0.0    0.1  414.4  606.3   260.8   525.7   718.2   -0.0935116 2.75383    0 
  3774   435 55244 0.5519  18.87    -0.8343  147.7     51.02      114.5  75.45    0.0        0.0    0.1    0.0    0.0    0.1  211.3  341.2 149.128   312.8   414.8    -0.249614 2.78151    0 
  3774   803 55244 0.3991  2.652     -73.57  356.4     13.62     -8.044  169.5    0.0       -0.0    0.1    0.0   -0.0    0.1  437.0  640.8   275.8   558.1   772.1   -0.0713638 2.79949    0 
  3775   220 55207 0.4181  2.849     -49.44  410.9     13.62      128.3  132.2  31.64     -98.62  168.3    0.0   -0.0    0.1  498.7  683.7   287.0   544.6   713.7   -0.0147121 2.48676    0 
  3775   243 55207 0.5849  2.941     -92.04  72.36     6.057     -7.071  268.1    0.0       -0.0    0.1    0.0   -0.0    0.1  456.1  765.8   321.5   648.9   849.4    0.0607959 2.64199    0 
  3775   527 55207 0.6092  2.972     -54.26  271.6     6.254      20.14  125.0    0.0       -0.0    0.1    0.0   -0.0    0.1  361.4  565.0   245.8   519.4   716.9    -0.119724  2.9166    0 
  3775   605 55207 0.6236  10.67     -9.512  587.5     15.98      251.5  295.9  11.77      169.0  86.67    0.0    0.0    0.1  593.6 1157.1   540.3  1186.6  1606.5    -0.158792 2.97335    0 
  3776   349 55209 0.4248  2.867     -293.8  904.9     52.17      38.18  243.6  24.28     -62.51  422.2    0.0   -0.0    0.1  687.2 1035.7   454.7   950.4  1341.9    -0.134587 2.95118    0 
  3777   673 55210 0.4145  35.49     -11.49  125.0     34.26     -60.64  240.7  4.107     -161.2  558.3    0.0   -0.0    0.1  414.4  659.0  292.51   630.9   902.1    -0.111606   3.084    0 
  3778   793 55213 0.6726  3.594      92.27  426.1       0.0        0.0    0.1    0.0        0.0    0.1    0.0    0.0    0.1 1003.4 1419.0   574.8  1092.1  1401.7 -2.85368e-05 2.43859    0 
  3779     9 55222 0.4721   22.3     -82.76  129.0     10.69      180.8  120.2    0.0       -0.0    0.1    0.0   -0.0    0.1  446.7  610.1   251.9   459.9   571.9     0.104844 2.27035    0 
  3781   543 55243 0.5756  61.44     -38.71  189.1     1.775     -23.06  536.3    0.0       -0.0    0.1    0.0   -0.0    0.1  453.0  645.4  270.03   524.9   695.7   0.00379474 2.57638    0 
  3782   523 55244   0.44  1.691      514.0  115.3     53.62     -33.46  173.6    0.0       -0.0    0.1    0.0   -0.0    0.1  408.9  579.2  240.08   463.0   608.7    0.0524396  2.5354    0 
  3783   329 55246  0.603  4.336     -245.7  267.2     7.264      496.8  159.3  6.983     -47.45  107.0    0.0    0.0    0.1  895.3 1242.9   615.0  1011.6  1218.7    0.0710757 1.98163    2 
  3784   181 55269 0.4721  17.31      58.63  398.8     36.31     -41.27  205.9  8.918      146.2  64.39    0.0   -0.0    0.1  589.9  881.1   368.3   753.2  1032.5    0.0682247 2.80342    0 
  3785   619 55241  0.484  14.01     -113.0  103.7     7.761      77.11  587.0  20.37     -98.99  279.0    0.0   -0.0    0.1  514.8  948.0   440.3   998.5  1414.7     0.156994 3.21304    0 
  3785   844 55241 0.2184  15.94     -104.4  414.4     55.44      36.07  192.2  37.38     0.5378  101.3    0.0    0.0    0.1  384.9  627.4   282.5   637.2   922.1    -0.140818 3.26407    0 
  3787   865 55565 0.3884   40.3      99.28   98.6     47.55     -64.25  148.9   3.29     -141.3  361.8    0.0   -0.0    0.1  387.9  541.6   232.3   438.9   573.1     -0.15792 2.46707    0 
  3788   275 55246 0.4753  92.44     -73.28  213.2     2.338     1033.0  529.9  23.06      342.8  299.5    0.0    0.0    0.1  570.2  897.9   401.8   852.0  1159.8     0.302707 2.88651    0 
  3789   189 55269 0.5649  2.476      30.72  625.0     16.83      24.39  245.6    0.0        0.0    0.1    0.0    0.0    0.1  626.1  918.0   406.3   840.3  1214.5   0.00550021 2.98917    0 
  3790   671 55208 0.4427  1.314     -159.7  313.3     15.73      2.411  154.3    0.0       -0.0    0.1    0.0   -0.0    0.1  378.0  543.6   229.6   453.1   613.0    -0.100238 2.66986    0 
  3790   891 55208 0.4537 0.7573     -268.4 1197.0     6.774       49.4  248.7  3.521       44.9  523.7    0.0    0.0    0.1  760.0 1224.5   582.9  1383.5  2116.8    -0.135081  3.6315    0 
  3791    77 55501  0.413  1.332     -813.2 1356.0     13.27      13.47  241.6  6.386     -183.9  525.8    0.0   -0.0    0.1  739.6 1249.4   654.4  1591.3  2499.7    -0.373397 3.81983    0 
  3791   223 55501 0.4032  10.91      29.42  317.0     44.07     -7.525  159.3    0.0        0.0    0.1    0.0    0.0    0.1  417.3  614.0   262.2   528.4   724.6    0.0438843 2.76354    0 
  3791   370 55501 0.4298  2.733      139.5 1082.0      3.02     -110.9  271.2    0.0       -0.0    0.1    0.0   -0.0    0.1 1078.1 2477.4  1105.3  2461.0  3295.0     0.078664 2.98109    0 
  3794   547 55241 0.3906  52.09     -15.84  199.4     14.03      95.26  358.5  20.87      20.18  92.76    0.0    0.0    0.1  422.0  675.8   287.6   606.0   831.8    0.0794903 2.89221    0 
  3794   957 55241  0.817  17.32     -30.84  209.6     6.169      127.1  100.8    0.0       -0.0    0.1    0.0   -0.0    0.1  489.1  678.1   281.4   523.2   668.3   -0.0881161 2.37491    0 
  3800   725 55486 0.4337  6.905      11.37  235.3     11.01      70.35  123.2  1.316     -170.3  551.2    0.0    0.0    0.1  382.0  610.5   286.2   648.0   969.9    -0.225858 3.38889    0 
  3801   808 55509 0.4715  1.726     -373.8  919.8     10.88      70.46  137.3  4.078     -107.1  314.6    0.0   -0.0    0.1  425.2  802.1   510.1  1303.8  2034.5    -0.332956 3.98843    0 
